time,x,y,z
1669192076.801844, -86.068042, -87.694926, 0.318000
1669192077.800515, -86.440616, -86.785339, 0.306000
1669192078.801915, -86.822552, -85.916282, 0.310000
1669192079.800423, -87.192629, -85.018204, 0.333000
1669192080.801117, -87.570888, -84.108706, 0.323000
1669192081.801006, -87.966253, -83.237757, 0.331000
1669192082.799864, -88.325555, -82.348184, 0.339000
1669192083.801090, -88.700665, -81.447062, 0.340000
1669192084.801328, -89.096112, -80.580919, 0.348000
1669192085.801151, -89.481815, -79.695893, 0.359000
1669192086.801414, -89.879880, -78.816575, 0.352000
1669192087.801162, -90.275567, -77.920467, 0.359000
1669192088.800241, -90.679315, -77.023483, 0.355000
1669192089.800870, -91.083548, -76.146280, 0.356000
1669192090.800167, -91.475464, -75.301281, 0.372000
1669192091.800157, -91.861608, -74.398122, 0.368000
1669192092.802564, -92.263857, -73.500978, 0.367000
1669192093.802108, -92.657086, -72.609906, 0.372000
1669192094.801518, -93.059184, -71.730334, 0.377000
1669192095.800782, -93.438810, -70.857432, 0.373000
1669192096.800604, -93.814483, -69.980712, 0.370000
1669192097.800681, -94.256176, -69.107498, 0.355000
1669192098.802776, -94.695912, -68.251146, 0.361000
1669192099.799474, -95.136563, -67.395888, 0.349000
1669192100.799494, -95.576806, -66.534164, 0.340000
1669192101.800320, -95.998663, -65.681999, 0.346000
1669192102.799417, -96.450183, -64.788459, 0.347000
1669192103.799411, -96.881360, -63.930218, 0.329000
1669192104.801222, -97.301626, -63.081224, 0.356000
1669192105.801186, -97.731462, -62.205620, 0.339000
1669192106.801154, -98.156548, -61.341009, 0.342000
1669192107.803281, -98.580406, -60.465692, 0.347000
1669192108.800042, -98.960218, -59.718549, 0.365000
1669192109.801155, -99.323888, -58.972049, 0.365000
1669192110.805068, -99.685328, -58.235204, 0.390000
1669192111.810001, -99.987769, -57.467919, 0.377000
1669192112.804508, -100.146520, -56.668300, 0.366000
1669192113.805637, -100.115472, -55.851555, 0.378000
1669192114.804608, -99.932575, -55.050516, 0.378000
1669192115.804954, -99.617926, -54.277232, 0.358000
1669192116.804773, -99.168308, -53.694881, 0.414000
