time,x,y,z
1669186304.508237, 1.956923, -0.499236, -2.784924
1669186304.602017, 1.991305, -0.588592, -2.740921
1669186304.701050, 2.062139, -0.645277, -2.714918
1669186304.802013, 2.195964, -0.691932, -2.841913
1669186304.902002, 2.295030, -0.671418, -2.982909
1669186305.001999, 2.323450, -0.583126, -3.127909
1669186305.102997, 2.261399, -0.537688, -3.281912
1669186305.203000, 2.198785, -0.525530, -3.369915
1669186305.300265, 2.127199, -0.513219, -3.451917
1669186305.401994, 2.073932, -0.479026, -3.431920
1669186305.509467, 2.012446, -0.400307, -3.414923
1669186305.602986, 1.950584, -0.343775, -3.363926
1669186305.702983, 1.950960, -0.321588, -3.341926
1669186305.802984, 2.004603, -0.333594, -3.274924
1669186305.904043, 2.004227, -0.355781, -3.203923
1669186306.001986, 1.941236, -0.365810, -3.061926
1669186306.102300, 1.869086, -0.386780, -2.934928
1669186306.198330, 1.949267, -0.421429, -2.896925
1669186306.302231, 2.038609, -0.445137, -2.820921
1669186306.401979, 2.092252, -0.457144, -2.754919
1669186306.508038, 2.110383, -0.446354, -2.663919
1669186306.602978, 2.174126, -0.391951, -2.596917
1669186306.704675, 2.290383, -0.416116, -2.570912
1669186306.802969, 2.407017, -0.418093, -2.633908
1669186306.904590, 2.461224, -0.396818, -2.656906
1669186307.005992, 2.525154, -0.331322, -2.691905
1669186307.101960, 2.571142, -0.265521, -2.742904
1669186307.205002, 2.616565, -0.233001, -2.783903
1669186307.306955, 2.608157, -0.199569, -2.701903
1669186307.405016, 2.581618, -0.176926, -2.601904
1669186307.510951, 2.546107, -0.154130, -2.530906
1669186307.606948, 2.519004, -0.164767, -2.430907
1669186307.706197, 2.455449, -0.208077, -2.142909
1669186307.805944, 2.428345, -0.218714, -1.928910
1669186307.906121, 2.428533, -0.207620, -1.849910
1669186308.002136, 2.419750, -0.196375, -1.717910
1669186308.104939, 2.383863, -0.195766, -1.547911
1669186308.205087, 2.356947, -0.195310, -1.399912
1669186308.304333, 2.348728, -0.150784, -1.451913
1669186308.402934, 2.358828, -0.084375, -1.608914
1669186308.508962, 2.359768, -0.028908, -1.766914
1669186308.604190, 2.369492, 0.015314, -1.901914
1669186308.704962, 2.406320, 0.070173, -1.911914
1669186308.805929, 2.442959, 0.113939, -1.914913
1669186308.902915, 2.497730, 0.168494, -1.952911
1669186309.004961, 2.552501, 0.223049, -2.055910
1669186309.109023, 2.589141, 0.266815, -2.049909
1669186309.206908, 2.634752, 0.310428, -1.959908
1669186309.305290, 2.698683, 0.375924, -2.092906
1669186309.406166, 2.762237, 0.419234, -2.183904
1669186309.510263, 2.816820, 0.462695, -2.370903
1669186309.606081, 2.853272, 0.495367, -2.488902
1669186309.705896, 2.889911, 0.539133, -2.626901
1669186309.802897, 2.935710, 0.593840, -2.749900
1669186309.906900, 2.972914, 0.670886, -2.917899
1669186310.006958, 3.000581, 0.714804, -3.077899
1669186310.106926, 3.028437, 0.769815, -3.284899
1669186310.204927, 3.064700, 0.791394, -3.330897
